Int, Cores, Prime (T/F), Time (milliseconds), Comments
160373,2,1,443,n/a
160374,2,0,0,2 is a divisor
160375,2,0,0,5 is a divisor
160376,2,0,0,2 is a divisor
160377,2,0,0,3 is a divisor
160378,2,0,0,2 is a divisor
160379,2,0,0,19 is a divisor
160380,2,0,0,2 is a divisor
160381,2,0,0,13 is a divisor
160382,2,0,0,2 is a divisor
160383,2,0,0,3 is a divisor
160384,2,0,0,2 is a divisor
160385,2,0,0,5 is a divisor
160386,2,0,0,2 is a divisor
160387,2,1,282,n/a
160388,2,0,0,2 is a divisor
160389,2,0,0,3 is a divisor
160390,2,0,0,2 is a divisor
160391,2,0,0,7 is a divisor
160392,2,0,0,2 is a divisor
160393,2,0,0,107 is a divisor
160394,2,0,0,2 is a divisor
160395,2,0,0,3 is a divisor
160396,2,0,0,2 is a divisor
160397,2,1,322,n/a
160398,2,0,0,2 is a divisor
160399,2,0,0,29 is a divisor
160400,2,0,0,2 is a divisor
160401,2,0,0,3 is a divisor
160402,2,0,0,2 is a divisor
160403,2,1,132,n/a
160404,2,0,0,2 is a divisor
160405,2,0,0,5 is a divisor
160406,2,0,0,2 is a divisor
160407,2,0,0,3 is a divisor
160408,2,0,0,2 is a divisor
160409,2,1,269,n/a
160410,2,0,0,2 is a divisor
160411,2,0,0,47 is a divisor
160412,2,0,0,2 is a divisor
160413,2,0,0,3 is a divisor
160414,2,0,0,2 is a divisor
160415,2,0,0,5 is a divisor
160416,2,0,0,2 is a divisor
160417,2,0,0,19 is a divisor
160418,2,0,0,2 is a divisor
160419,2,0,0,3 is a divisor
160420,2,0,0,2 is a divisor
160421,2,0,0,59 is a divisor
160422,2,0,0,2 is a divisor
160423,2,1,648,n/a
160424,2,0,0,2 is a divisor
160425,2,0,0,3 is a divisor
160426,2,0,0,2 is a divisor
160427,2,0,2,a = 1; r = 128; phi(r) = 64
160428,2,0,0,2 is a divisor
160429,2,0,0,17 is a divisor
160430,2,0,0,2 is a divisor
160431,2,0,0,3 is a divisor
160432,2,0,0,2 is a divisor
160433,2,0,0,7 is a divisor
160434,2,0,0,2 is a divisor
160435,2,0,0,5 is a divisor
160436,2,0,0,2 is a divisor
160437,2,0,0,3 is a divisor
160438,2,0,0,2 is a divisor
160439,2,0,0,83 is a divisor
160440,2,0,0,2 is a divisor
160441,2,1,368,n/a
160442,2,0,0,2 is a divisor
160443,2,0,0,3 is a divisor
160444,2,0,0,2 is a divisor
160445,2,0,0,5 is a divisor
160446,2,0,0,2 is a divisor
160447,2,0,0,7 is a divisor
160448,2,0,0,2 is a divisor
160449,2,0,0,3 is a divisor
160450,2,0,0,2 is a divisor
160451,2,0,1,a = 1; r = 128; phi(r) = 64
160452,2,0,0,2 is a divisor
160453,2,1,292,n/a
160454,2,0,0,2 is a divisor
160455,2,0,0,3 is a divisor
160456,2,0,0,2 is a divisor
160457,2,0,0,11 is a divisor
160458,2,0,0,2 is a divisor
160459,2,0,0,13 is a divisor
160460,2,0,0,2 is a divisor
160461,2,0,0,3 is a divisor
160462,2,0,0,2 is a divisor
160463,2,0,0,17 is a divisor
160464,2,0,0,2 is a divisor
160465,2,0,0,5 is a divisor
160466,2,0,0,2 is a divisor
160467,2,0,0,3 is a divisor
160468,2,0,0,2 is a divisor
160469,2,0,0,37 is a divisor
160470,2,0,0,2 is a divisor
160471,2,0,0,23 is a divisor
160472,2,0,0,2 is a divisor
160473,2,0,0,3 is a divisor
160474,2,0,0,2 is a divisor
160475,2,0,0,5 is a divisor
160476,2,0,0,2 is a divisor
160477,2,0,9,a = 1; r = 128; phi(r) = 64
160478,2,0,0,2 is a divisor
160479,2,0,0,3 is a divisor
160480,2,0,0,2 is a divisor
160481,2,1,526,n/a
160482,2,0,0,2 is a divisor
160483,2,1,354,n/a
