Int, Cores, Prime (T/F), Time (milliseconds), Comments
11491,2,1,530,n/a
11497,2,1,277,n/a
11503,2,1,385,n/a
11519,2,1,650,n/a
11527,2,0,393,a = 47; r = 93; phi(r) = 60
11549,2,1,788,n/a
11551,2,1,587,n/a
11579,2,1,606,n/a
11587,2,0,45,a = 1; r = 88; phi(r) = 40
11593,2,0,200,a = 11; r = 100; phi(r) = 40
11597,2,1,1035,n/a
11617,2,1,530,n/a
11621,2,1,1113,n/a
11633,2,1,449,n/a
11657,2,1,301,n/a
11677,2,1,400,n/a
11681,2,1,867,n/a
11689,2,1,621,n/a
11699,2,0,44,a = 1; r = 91; phi(r) = 72
11701,2,1,682,n/a
