Int, Cores, Prime (T/F), Time (milliseconds), Comments
7740833,2,1,777,n/a
7740834,2,0,1,2 is a divisor
7740835,2,0,0,5 is a divisor
7740836,2,0,0,2 is a divisor
7740837,2,0,0,3 is a divisor
7740838,2,0,0,2 is a divisor
7740839,2,0,0,61 is a divisor
7740840,2,0,0,2 is a divisor
7740841,2,0,0,41 is a divisor
7740842,2,0,0,2 is a divisor
7740843,2,0,0,3 is a divisor
7740844,2,0,0,2 is a divisor
7740845,2,0,0,5 is a divisor
7740846,2,0,0,2 is a divisor
7740847,2,0,0,19 is a divisor
7740848,2,0,0,2 is a divisor
7740849,2,0,0,3 is a divisor
7740850,2,0,0,2 is a divisor
7740851,2,1,1021,n/a
7740852,2,0,0,2 is a divisor
7740853,2,0,0,47 is a divisor
7740854,2,0,0,2 is a divisor
7740855,2,0,0,3 is a divisor
7740856,2,0,0,2 is a divisor
7740857,2,0,0,23 is a divisor
7740858,2,0,1,2 is a divisor
7740859,2,0,0,7 is a divisor
7740860,2,0,0,2 is a divisor
7740861,2,0,0,3 is a divisor
7740862,2,0,0,2 is a divisor
7740863,2,0,0,13 is a divisor
7740864,2,0,16,2 is a divisor
7740865,2,0,0,5 is a divisor
7740866,2,0,0,2 is a divisor
7740867,2,0,0,3 is a divisor
7740868,2,0,0,2 is a divisor
7740869,2,0,16,a = 1; r = 252; phi(r) = 72
7740870,2,0,0,2 is a divisor
7740871,2,1,1269,n/a
7740872,2,0,3,2 is a divisor
7740873,2,0,0,3 is a divisor
7740874,2,0,0,2 is a divisor
7740875,2,0,0,5 is a divisor
7740876,2,0,0,2 is a divisor
7740877,2,0,14,a = 1; r = 241; phi(r) = 240
7740878,2,0,5,2 is a divisor
7740879,2,0,0,3 is a divisor
7740880,2,0,0,2 is a divisor
7740881,2,0,0,37 is a divisor
7740882,2,0,0,2 is a divisor
7740883,2,0,0,29 is a divisor
7740884,2,0,0,2 is a divisor
7740885,2,0,0,3 is a divisor
7740886,2,0,0,2 is a divisor
7740887,2,0,0,7 is a divisor
7740888,2,0,0,2 is a divisor
