Int, Cores, Prime (T/F), Time (milliseconds), Comments
10000000000000007,2,0,0,53 is a divisor
10000000000000007,2,0,0,53 is a divisor
10000000000000007,2,0,0,113 is a divisor
10000000000000007,2,0,0,53 is a divisor
10000000000000007,2,0,0,53 is a divisor
10000000000000007,2,0,0,113 is a divisor
10000000000000007,2,0,0,53 is a divisor
10000000000000007,2,0,0,277 is a divisor
10000000000000007,2,0,0,53 is a divisor
10000000000000007,2,0,0,113 is a divisor
10000000000000007,2,0,0,53 is a divisor
10000000000000007,2,0,0,53 is a divisor
10000000000000007,2,0,0,113 is a divisor
10000000000000007,2,0,0,53 is a divisor
10000000000000007,2,0,0,53 is a divisor
10000000000000007,2,0,0,277 is a divisor
10000000000000007,2,0,0,113 is a divisor
10000000000000007,2,0,0,53 is a divisor
10000000000000007,2,0,0,53 is a divisor
10000000000000007,2,0,0,113 is a divisor
10000000000000007,2,0,0,53 is a divisor
10000000000000007,2,0,0,53 is a divisor
10000000000000007,2,0,0,113 is a divisor
10000000000000007,2,0,0,53 is a divisor
10000000000000007,2,0,0,277 is a divisor
10000000000000007,2,0,0,53 is a divisor
10000000000000007,2,0,0,53 is a divisor
10000000000000007,2,0,0,113 is a divisor
10000000000000007,2,0,0,53 is a divisor
10000000000000007,2,0,1,53 is a divisor
10000000000000007,2,0,1,113 is a divisor
10000000000000007,2,0,1,53 is a divisor
10000000000000007,2,0,1,277 is a divisor
10000000000000007,2,0,1,53 is a divisor
10000000000000007,2,0,1,1117 is a divisor
10000000000000007,2,0,1,113 is a divisor
10000000000000007,2,0,1,53 is a divisor
10000000000000007,2,0,1,53 is a divisor
10000000000000007,2,0,1,113 is a divisor
10000000000000007,2,0,1,53 is a divisor
10000000000000007,2,0,1,53 is a divisor
10000000000000007,2,0,350,a = 1; r = 1344; phi(r) = 384
10000000000000007,2,1,363,n/a
