Int, Cores, Prime (T/F), Time (milliseconds), Comments
11491,2,1,68,n/a
11492,2,0,0,2 is a divisor
11493,2,0,0,3 is a divisor
11494,2,0,0,2 is a divisor
11495,2,0,0,5 is a divisor
11496,2,0,0,2 is a divisor
11497,2,1,66,n/a
11498,2,0,0,2 is a divisor
11499,2,0,0,3 is a divisor
11500,2,0,0,2 is a divisor
11501,2,0,0,7 is a divisor
11502,2,0,0,2 is a divisor
11503,2,1,13,n/a
11504,2,0,0,2 is a divisor
11505,2,0,0,3 is a divisor
11506,2,0,0,2 is a divisor
11507,2,0,0,37 is a divisor
11508,2,0,0,2 is a divisor
11509,2,0,0,17 is a divisor
11510,2,0,0,2 is a divisor
11511,2,0,0,3 is a divisor
11512,2,0,0,2 is a divisor
11513,2,0,0,29 is a divisor
11514,2,0,0,2 is a divisor
11515,2,0,0,5 is a divisor
11516,2,0,0,2 is a divisor
11517,2,0,0,3 is a divisor
11518,2,0,0,2 is a divisor
11519,2,1,127,n/a
11520,2,0,0,2 is a divisor
11521,2,0,0,41 is a divisor
11522,2,0,0,2 is a divisor
11523,2,0,0,3 is a divisor
11524,2,0,0,2 is a divisor
11525,2,0,0,5 is a divisor
11526,2,0,0,2 is a divisor
11527,2,1,46,n/a
11528,2,0,0,2 is a divisor
11529,2,0,0,3 is a divisor
11530,2,0,0,2 is a divisor
11531,2,0,0,13 is a divisor
11532,2,0,0,2 is a divisor
11533,2,0,0,19 is a divisor
11534,2,0,0,2 is a divisor
11535,2,0,0,3 is a divisor
11536,2,0,0,2 is a divisor
11537,2,0,0,83 is a divisor
11538,2,0,0,2 is a divisor
11539,2,0,0,11 is a divisor
11540,2,0,0,2 is a divisor
11541,2,0,0,3 is a divisor
11542,2,0,0,2 is a divisor
11543,2,0,0,7 is a divisor
11544,2,0,0,2 is a divisor
11545,2,0,0,5 is a divisor
11546,2,0,0,2 is a divisor
11547,2,0,0,3 is a divisor
11548,2,0,0,2 is a divisor
11549,2,1,39,n/a
11550,2,0,0,2 is a divisor
11551,2,1,88,n/a
11552,2,0,0,2 is a divisor
11553,2,0,0,3 is a divisor
11554,2,0,0,2 is a divisor
11555,2,0,0,5 is a divisor
11556,2,0,0,2 is a divisor
11557,2,0,0,7 is a divisor
11558,2,0,0,2 is a divisor
11559,2,0,0,3 is a divisor
11560,2,0,0,2 is a divisor
11561,2,0,0,11 is a divisor
11562,2,0,0,2 is a divisor
11563,2,0,0,31 is a divisor
11564,2,0,7,2 is a divisor
11565,2,0,0,3 is a divisor
11566,2,0,0,2 is a divisor
11567,2,0,0,43 is a divisor
11568,2,0,0,2 is a divisor
11569,2,0,0,23 is a divisor
11570,2,0,0,2 is a divisor
11571,2,0,0,3 is a divisor
11572,2,0,0,2 is a divisor
11573,2,0,0,71 is a divisor
11574,2,0,0,2 is a divisor
11575,2,0,0,5 is a divisor
11576,2,0,0,2 is a divisor
11577,2,0,0,3 is a divisor
11578,2,0,0,2 is a divisor
11579,2,1,62,n/a
11580,2,0,0,2 is a divisor
11581,2,0,0,37 is a divisor
11582,2,0,0,2 is a divisor
11583,2,0,0,3 is a divisor
11584,2,0,0,2 is a divisor
11585,2,0,0,5 is a divisor
11586,2,0,0,2 is a divisor
11587,2,1,57,n/a
11588,2,0,0,2 is a divisor
11589,2,0,0,3 is a divisor
11590,2,0,0,2 is a divisor
11591,2,0,0,67 is a divisor
11592,2,0,0,2 is a divisor
11593,2,1,60,n/a
11594,2,0,0,2 is a divisor
11595,2,0,0,3 is a divisor
11596,2,0,0,2 is a divisor
11597,2,1,66,n/a
11598,2,0,0,2 is a divisor
11599,2,0,0,7 is a divisor
11600,2,0,0,2 is a divisor
11601,2,0,0,3 is a divisor
11602,2,0,0,2 is a divisor
11603,2,0,0,41 is a divisor
11604,2,0,0,2 is a divisor
11605,2,0,0,5 is a divisor
11606,2,0,0,2 is a divisor
11607,2,0,0,3 is a divisor
11608,2,0,0,2 is a divisor
11609,2,0,0,13 is a divisor
11610,2,0,0,2 is a divisor
11611,2,0,0,17 is a divisor
11612,2,0,0,2 is a divisor
11613,2,0,0,3 is a divisor
11614,2,0,0,2 is a divisor
11615,2,0,0,5 is a divisor
11616,2,0,0,2 is a divisor
11617,2,1,38,n/a
11618,2,0,0,2 is a divisor
11619,2,0,0,3 is a divisor
11620,2,0,0,2 is a divisor
11621,2,1,82,n/a
11622,2,0,0,2 is a divisor
11623,2,0,0,59 is a divisor
11624,2,0,0,2 is a divisor
11625,2,0,0,3 is a divisor
11626,2,0,0,2 is a divisor
11627,2,0,0,7 is a divisor
11628,2,0,0,2 is a divisor
11629,2,0,0,29 is a divisor
11630,2,0,0,2 is a divisor
11631,2,0,0,3 is a divisor
11632,2,0,0,2 is a divisor
11633,2,1,74,n/a
11634,2,0,0,2 is a divisor
11635,2,0,0,5 is a divisor
11636,2,0,0,2 is a divisor
11637,2,0,0,3 is a divisor
11638,2,0,0,2 is a divisor
11639,2,0,1,a = 41; r = 86; phi(r) = 42
11640,2,0,0,2 is a divisor
11641,2,0,0,7 is a divisor
11642,2,0,0,2 is a divisor
